Page,URL,Topic,Question,Answer,Label
Innovative finance COP27,https://qutii.org/index.php/Innovative_finance_COP27,Climate change,In which form is climate finance channelled to developing countries?,"Most of the climate finance flows took the form of public loans (58% of total flows), enhancing developing countries’ debt burdens, whereas only 21% were channelled through grants from bilateral and multilateral development banks.[1]",a
Innovative finance COP27,https://qutii.org/index.php/Innovative_finance_COP27,Climate change,In which type of project is used climate funding channelled to developing countries?,"The fundings have been primarily used to fund climate projects in the field of energy (32% of total finance flows), transport (14%), agriculture, forestry, & fishing (9%) and water supply & sanitation (8%) [2].",a
Innovative finance COP27,https://qutii.org/index.php/Innovative_finance_COP27,Climate change,What's the evidence that actual finance flows reported by developed countries is significantly higher than actual climate-specific net assistance?,"Oxfam notably discounts funds declared which are not actually targeting climate action, and focuses on grant equivalence, in order to estimate the actual financial transfer to developing countries once all financial repayments are taken into account (e.g. loan repayments, interest, administration expenses, etc.), concluding that actual finance flows reported by developed countries is significantly higher than actual climate-specific net assistance [3].",s
Innovative finance COP27,https://qutii.org/index.php/Innovative_finance_COP27,Climate change,What's the evidence that the instrument used to finance climate action in developing countries is debt?,"Most of the climate finance flows took the form of public loans (58% of total flows), enhancing developing countries’ debt burdens.[4]",s
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution ,What can give a false picture of the true source of emissions?,"Producers of raw materials, often in the Global South, are unfairly penalized.For example, companies producing aluminium for use in smartphones and other technology products, all the emissions are ascribed to their primary activity. [1]",o/a
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,What percentage of individual emissions were attributed to the investments of the world’s richest people in the Oxfam study ‘Carbon Billionaires’.,L.Chancel estimated that 50-70% of the emissions of the worlds wealthiest come from their investments [2].,a
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,What is a billionaire’s yearly rate of emissions?,The average yearly rate of emissions of the 125 billionaire’s sampled by Oxfam in ‘Carbon Billionaires’ was 3.1 million tonnes / year. - This is equivalent to the emissions of France [2].,a
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,How many times greater is the average billionaire’s yearly carbon emissions than the emissions of someone in the bottom 90% of humanity?,Over a million times the average emissions [2].,a
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,How do the emissions of a billionaire’s investments compare with the average emissions from S&P500 investments?,The average billionaire’s investment related emissions calculated by Oxfam were double those associated with the S&P [2].,a
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,What are the yearly emissions of someone in the worlds poorest 90%?,Someone in the worlds poorest 90% is estimated to emit on average 2.76 tonnes / year [3].,a
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,What percentage of a billionaire’s investments are in polluting industries?,Oxfam found that an average of 14% of the investments in their 125 billionaire sample group were in polluting industries [2].,a
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,What effect do the investments of the world’s richest people have on the economy?,"In it’s ‘Carbon Billionaires’ report, Oxfam states that billionaires make help shape the future of our economy, for example by backing high carbon infrastructure, locking in high emissions for decades to come[2].",o/a
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,How can billionaire’s reduce the carbon intensity of their emissions?,"It is estimated that 50-70% of billionaire’s emissions are related to their investments [1]. Oxfam states that if they moved their investments to funds with stronger environmental and social standards, they could reduce the intensity of their emissions by up to four times. [2]",s
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,What are the cumulative emissions of the worlds richest 1%?,Oxfam and the Stockholm Environment Institute (SEI) calculated that the richest 1% (around 63 million people) alone were responsible for 15% of cumulative emissions and that they were emitting 35 times the level ofCO2e compatible with the 1.5°C by 2030 goal of the Paris Agreement [4],a
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,How much do CO2 do billionaire’s emit?,"A study by Barros and Wilk drew on public records to estimate that in 2018 emissions from the private yachts, planes, helicopters and mansions of 20 billionaires generated on average about 8,194 tonnes of carbon dioxide (CO2e) [5]. By contrast, any individual among the poorest one billion people emits around 1.4 tonnes of CO2 each year [6].",a
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,How severe are billionaire private jet travel emissions?,"Recently, Twitter accounts tracking private jet travel have brought the issue of carbon inequality to public attention with revelations that, in a matter of just minutes, billionaires are emitting more CO2 than most people will emit in a year [7].",o/a
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,Why are emissions associated with investments important?,"It matters for two reasons: firstly, it is important to have an accurate understanding of the true scale of the emissions generated by the richest people in our society and the role that these emissions are playing in climate breakdown. Research conducted by Oxfam shows that while the personal consumption emissions of billionaires can be a thousand times higher than those of ordinary citizens, emissions from billionaire investments can be a million times higher than normal people [2]. Secondly, by looking at how the richest behave as investors, we can demonstrate not just their role as consumers of carbon but also their role as wealth holders who own, control, shape and financially profit from production processes that release greenhouse gases (GHGs) into the atmosphere [2].",o/a
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,Why is understanding and directing the investments of the wealthy important?,"Ordinary citizens often do not have a lot of control over their energy choices, particularly those in low- or middle-income groups. Poor public transport options can mean that people are forced to drive to work, for example. In contrast, investors can choose where they put their money. They can choose to put it into fossil fuel industries or other highly polluting activities, or into the activities of other corporate actors that are clearly failing to do enough to reduce their carbon emissions. The decisions that investors make now can potentially determine our emissions for decades to come – for instance, bad decisions on infrastructure investments can commit us to high levels of GHGs far into the future [2].",s
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,How do mortality rates compare for extreme weather events for vulnerable and non-vulnerable countries?,"The IPCC state that average mortality levels from floods, drought and storms over the past decade are 15 times higher for countries that are highly vulnerable to climate change – such as Mozambique, Somalia, Nigeria, Afghanistan and Haiti – compared with regions and countries that have low vulnerability, such as the UK, Australia, Canada and Sweden [8].",a
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,What role do investors have in fighting for climate change?,"During company engagement, shareholders should take a position on environmental, social and governance (ESG) issues and demand that the targeted corporates improve their practices over time. This can be a powerful lever to reduce the carbon footprint of large companies. Where shareholder engagement fails, investors can decide to disinvest.[1]",s
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,How do emissions from the investments of pension funds differ from those of billionaire investments?,"The billionaires in the sample analysed by Oxfam fund 393m tonnes of CO2e per year, and the average emissions for each billionaire's investment are 3m tonnes of CO2e. By way of comparison, the average UK pension pot funds 23 tonnes of CO2e [[https://www.cushon.co.uk/blog/pension-funds-and-the-climate-crisis 10]]",a
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,Why do estimates underestimate emissions related to the investments of billionaire's?,"Firstly, most corporate reporting is voluntary, and most is not of adequate quality. There are international standards and guidelines for measuring climate data, such as the Greenhouse Gas Protocol; however, as one analysis points out, ‘poor sustainability performers prefer low-quality sustainability disclosure to disguise their true performance’.58 This means that there is a systematic underestimation by corporates of their reported emissions [11]. Secondly, for most corporates, the majority of emissions (on average 75%) are indirect scope 3 emissions. Scope 3 emissions from the oil and gas sector are even higher, accounting for about 88% of total emissions.61 A low-carbon economy cannot be achieved without addressing these emissions[12].",o/a
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,What role have coporates had in the climate breakdown?,"In March 2022, CDP found that, of the 13,000+ corporates that disclosed in 2021 – between them accounting for 64% of global market capital ($64tn) – just one-third (4,002) were developing a low-carbon transition plan. Fewer than 35% of corporates’ emissions reductions targets are what CDP consider credible and only 1,164 organizations have set science-based targets (SBTs) validated by the SBTi. Moreover, a paltry 1% of corporates (135) reported on all 24 of the CDP key indicators associated with a credible climate transition plan [13] . None of the G7 countries have a corporate sector that is aligned with the Paris agreement’s goal of limiting global warming to 1.5°C. [2].",o/a
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,How can governments compel investors to reduce carbon emissions?,"They should regulate to compel corporates to set strong and binding science-based targets to reduce carbon emissions to within the 1.5°C limit and must demand greater transparency and a unified and higher standard of reporting. This should be done though disclosure from the companies, ambitious but realistic targets and just planning. To speed the transition away from fossil fuels, investments in new fossil fuel extraction and use and in highly polluting industries should be strictly regulated and indeed banned in many instances. This can be complemented with steeply progressive rates of taxation. [2].",s
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,,Governments should tax wealth in order to reduce the numbers of very rich people in our society and their power. This will help to dramatically reduce the cumulative emissions of the richest and raise billions of dollars that can be used to help countries cope with the brutal impacts of climate breakdown and the losses and damages incurred [2][2].,s
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,,Regulate to reduce the primacy of maximizing returns for wealthy shareholders as well as introducing a wealth tax with a pollution top-up element [2].,s
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,,Introduce agreed mechanisms to track and report emissions within countries which take into account distributional and full carbon footprints and not just territorial emissions [2].,s
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,How can corporate directors drive climate action?,Measuring and reporting their associated emissions,s
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,,Commit explicitly to a scenario of a maximum 1.5'C of warming.,s
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,,"Do not finance any new extraction of fossil fuels, coal-fired power generation, or oil from tar sands in high-income countries, including in the Arctic (both onshore and offshore). In lower- and middle-income countries, finance should be limited to projects which demonstrate that the public benefits exceed the costs of extraction, taking into account the risk of potentially stranded assets. [2].",s
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,How can company directors help in climate action?,Regularly requiring management report on climate performance and monitoring to ensure that the company reduces its contribution to climate change. [2].,s
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,,Ensuring that climate risk is a priority for the risk management committee at the board level. [2].,s
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,What are the conclusions from the Oxfam 'Carbon Billionaires' report?,"Very rich people play a disproportionately large role in our fossil fuel economy, primarily through their investments. The distribution of carbon emissions between different income groups, and in particular the emissions of very high-income groups, is poorly reported and understood. [2].",f
Investment emissions,https://qutii.org/index.php/Investment_emissions,Pollution,,"It is critical that we better understand the role of the very rich in the fossil fuel economy, especially the role of billionaires as owners of and investors in some of the world’s largest corporate actors and take urgent action to address the huge scale of their investment-based emissions. [2].",f
Just transition,https://qutii.org/index.php/Just_transition,climate change ,"What’s the aim of the $8.5bn partnership involving the US, UK, France, Germany and EU?","To help fund an “equitable, inclusive energy transition” in South Africa",f
Just transition,https://qutii.org/index.php/Just_transition,climate change,What is Just Transition?,"Ensuring that global and local climate action protects the planet, people and the economy.",f
Just transition,https://qutii.org/index.php/Just_transition,climate change,What is the key element of a Just Transition?,Recognising first that different communities are asymmetrically exposed to the physical impacts of climate change and the socioeconomic consequences of mitigation and adaptation policies and therefore ensuring that communities find secure pathways in these sectoral redeployments and ensure social and economic development goals.[1],f
Just transition,https://qutii.org/index.php/Just_transition,climate change,What elements are the Just Transition based on?,The idea of a just transition to an economic model based on low-emission and climate-resilient development are based on the agreed principles in the UNFCCC process and the Paris Agreement.[2],f
Just transition,https://qutii.org/index.php/Just_transition,climate change,How will the Just Transition impact technology development and adoption?,By encouraging the needed shift to and the quick phasing-in of low-emission technologies and phasing-down of high-emission ones while ensuring that it meets the needs of all communities impacted.[3],s
Just transition,https://qutii.org/index.php/Just_transition,climate change,What are the prior achievements towards the Just Transition plan?,"- The Solidarity and Just Transition Silesia Declaration, signed at COP24 in Katowice by UNFCCC Parties - The UNFCCC Gender Action plan at COP25 - Glasgow Just Transition Declaration, signed by more than 30 nations at COP26",f
Just transition,https://qutii.org/index.php/Just_transition,climate change,What was the Solidarity and Just Transition Silesia Declaration about?,Calling for more progress on addressing the vulnerability of labor markets in carbon-intensive sectors facing transition risks.[4],f
Just transition,https://qutii.org/index.php/Just_transition,climate change,What was the focus of the UNFCCC Gender Action Plan?,Recognising the importance of and committing to involving women and men equally in the development and implementation of national climate policies that are gender-responsive.,f
Just transition,https://qutii.org/index.php/Just_transition,climate change,What was the central idea behind the Glasgow Just Transition Declaration?,Reemphasizing the need to ensure that no worker or community is left behind.,f
Just transition,https://qutii.org/index.php/Just_transition,climate change,What other organisation has been actively working on the Just Transition?,"The International Labour Organisation (ILO) has been actively contributing to framing and raising awareness on just transition, developing practical orientations for governments and social partners on how to formulate, implement and monitor a policy framework for just transition. This is outlined in the 2015 ILO guidelines.[5]",f
Just transition,https://qutii.org/index.php/Just_transition,climate change,What do the 2015 ILO guidelines recommend regarding a Just Transition?,"Paying special attention to industries, regions, workers and communities most negatively affected by climate change, anticipating skills needs, assessing health and safety risks and ensuring social protection in the transition (e.g. workers’ health care and pensions).",e
Just transition,https://qutii.org/index.php/Just_transition,climate change,What other plan is in place for ensuring for a Just Transition in terms of employment?,"In 2019, the ILO and the UN Climate Action Summit launched the Climate Action for Jobs initiative to build a roadmap placing people’s jobs and well-being at the center of the transition.[6]",f
Just transition,https://qutii.org/index.php/Just_transition,climate change,How do we plan to address a Just Transition in the energy sector?,"COP26 introduced the Just Energy Transition Partnerships (JETPs) model, with the launch of an $8.5bn partnership by the US, UK, France, Germany and EU to help fund an “equitable, inclusive energy transition” in South Africa.",f
Just transition,https://qutii.org/index.php/Just_transition,climate change,Which countries stand to benefit from the Just Energy Transition Partnerships (JETPs) model?,"Apart from South Africa, similar partnerships are in development, with programs for India, Indonesia, Vietnam and Senegal announced at the 2022 G7 Summit. The EU-Africa summit in February 2022 also announced an Africa–EU Green Energy Initiative, which adds Egypt, Côte d'Ivoire, Kenya and Morocco as partners.[7]",f
Just transition,https://qutii.org/index.php/Just_transition,climate change,How many goals does the COP27 have in relation to a just transition?,The goals of COP27 in the Just Transition are four.,f
Just transition,https://qutii.org/index.php/Just_transition,climate change,What is the first goal of the Just Transition agenda of COP27?,"Integrate just transition principles across all sectoral transition plans (food & water, security, energy access, housing, transportation, health, etc.)[8]",f
Just transition,https://qutii.org/index.php/Just_transition,climate change,What is the second goal of the Just Transition agenda of COP27?,"Establish policy dialogue platforms (e.g. National Just Transition Commissions or platforms) where policymakers, business leaders and financial authorities can engage in social dialogue with all stakeholders to develop climate policies in a participatory process.",f
Just transition,https://qutii.org/index.php/Just_transition,climate change,What is the third goal of the Just Transition agenda of COP27?,"Focus on protecting communities at three levels (citizen, sector, country) when defining national and international policies.[1]",f
Just transition,https://qutii.org/index.php/Just_transition,climate change,What is the fourth goal of the Just Transition agenda of COP27?,"Ensure consistent finance from international and national organizations as well as private investors, enabling a connection between climate action, inclusive growth and sustainable development.",f
Just transition,https://qutii.org/index.php/Just_transition,climate change,How does the private sector add value to the Just Transition agenda?,"The private sector provides particular opportunities, including its role in mobilizing investment, undertaking research and development, connecting global supply chains and contributing to skills development. [2]",s
Just transition,https://qutii.org/index.php/Just_transition,climate change,What should governments provide for the transition to low carbon technologies?,Carbon-intensive and adjacent industries should be supported on their transition to low carbon technologies with fiscal policy.[3],s
Just transition,https://qutii.org/index.php/Just_transition,climate change,How much did the partnership for Just Energy Transition Partnerships cost?,$8.5bn [4],a
Finance Day Debt sustainability,https://qutii.org/index.php/Finance_Day_Debt_sustainability,Climate change,What factors are worsening the state of debt distress for many countries?,"Interest rates have risen, the US dollar (in which most debts are denominated) has appreciated, and growth has slowed.[1]",O/A
Finance Day Debt sustainability,https://qutii.org/index.php/Finance_Day_Debt_sustainability,Climate change,What is an example of a country having liquidity issues?,"Benin faces sharply higher repayments on its Eurobonds in 2023 and 2024, which it might find expensive to roll over given current market conditions. Benin’s debt management issue stems from ensuring adequate liquidity despite the uncertainties in global capital markets.[2]",O/A
Finance Day Debt sustainability,https://qutii.org/index.php/Finance_Day_Debt_sustainability,Climate change,What is debt overhang?,"Many countries are finding it difficult to find the fiscal space for high-return mitigation, adaptation and resilience projects. The debt overhang problem is about microeconomics – how to finance good projects when existing levels of debt are too high for new creditors to voluntarily provide new money. [3]",f
Finance Day Debt sustainability,https://qutii.org/index.php/Finance_Day_Debt_sustainability,Climate change,What causes liquidity problems to arise?,"Liquidity problems emerge when the structure of debt service payments is lumpy, as in the case of the Benin Eurobond example mentioned above, or when the economy suffers an external shock. Liquidity problems can be exacerbated when countries rely excessively on private capital markets, particularly sovereign bond markets, which has less favourable features.[4]",s
Finance Day Debt sustainability,https://qutii.org/index.php/Finance_Day_Debt_sustainability,Climate change,What is the state of global indebtedness in emerging economies?,One-third of all developing countries and two-thirds of low-income countries are at high risk of debt distress.[5],f
Finance Day Debt sustainability,https://qutii.org/index.php/Finance_Day_Debt_sustainability,Climate change,How has the creditworthiness of countries changed over the past few years?,Credit rating agencies have been systematically lowering their assessments of sovereign creditworthiness since the onset of the pandemic. Few countries are now classified as having an ‘investment grade’ rating.[6],s
Finance Day Debt sustainability,https://qutii.org/index.php/Finance_Day_Debt_sustainability,Climate change,What is partly responsible for the general lowering of global sovereign credit ratings?,"An IMF study found a negative, significant effect of climate vulnerability on creditworthiness. Ratings agencies are realising that climate risks are no longer something that will affect the future but are part of the assessment of creditworthiness in the here-and-now.[7]",f
Finance Day Debt sustainability,https://qutii.org/index.php/Finance_Day_Debt_sustainability,Climate change,How can climate disasters lead to debt for countries?,Studies have shown that borrowing to smooth out the cost of a natural disaster over time can result in a cycle of debt accumulation if the frequency and impact of shocks goes up – this phenomenon largely explains the indebtedness of many Caribbean countries.[8],s
Finance Day Debt sustainability,https://qutii.org/index.php/Finance_Day_Debt_sustainability,Climate change,What is leading to the debt issue in EMDCs?,For emerging markets and developing countries (EMDCs) the debt issue is primarily one of liquidity and roll-over problems.[9],O/A
Finance Day Debt sustainability,https://qutii.org/index.php/Finance_Day_Debt_sustainability,Climate change,Is there good news for EMDCs?,"Yes, the IMF projects that growth in the next five years will be higher and more evenly distributed than in the five years preceding the pandemic. [10]",O/A
Finance Day Debt sustainability,https://qutii.org/index.php/Finance_Day_Debt_sustainability,Climate change,What issues need to be managed to tackle debt difficulties?, The growing risk of a liquidity problem in many countries.[11],O/A
Finance Day Debt sustainability,https://qutii.org/index.php/Finance_Day_Debt_sustainability,Climate change,,The debt-overhang problem in a small set of countries,O/A
Finance Day Debt sustainability,https://qutii.org/index.php/Finance_Day_Debt_sustainability,Climate change,, The debt-as-insurance problem in climate-vulnerable countries that leads to a vicious cycle of climate and debt vulnerability.[12],O/A
Finance Day Debt sustainability,https://qutii.org/index.php/Finance_Day_Debt_sustainability,Climate change,What could accelerate economic growth for EMDCs?,"Higher and better-quality public spending. Also, if finance is made available on terms that non-concessional official lenders offer, then most countries should be able to grow out of their debt difficulties.[13]",S
Finance Day Debt sustainability,https://qutii.org/index.php/Finance_Day_Debt_sustainability,Climate change,What are some priorities for managing liquidity risk?,"Creating easier access on reasonable terms to official liquidity facilities, without penalty surcharges",S
Finance Day Debt sustainability,https://qutii.org/index.php/Finance_Day_Debt_sustainability,Climate change,, Placing more reliance on official finance where longer maturities and grace periods reduce lumpiness in repayment schedules.[14],S
Finance Day Debt sustainability,https://qutii.org/index.php/Finance_Day_Debt_sustainability,Climate change,What is the big push strategy?,"It is a strategy that represents a trade-off between taking on more debt for the right kind of investments - those that invest more in climate change mitigation, adaptation, and land-use and nature-based solutions . [1]",S
Finance Day Debt sustainability,https://qutii.org/index.php/Finance_Day_Debt_sustainability,Climate change,What are the conditions required for the big push to work?,"The strategy relies on sound public investment management. More borrowing may cause credit ratings to drop in the short term, but if project returns are higher than the cost of finance, creditworthiness will generally improve under a big push strategy compared with the current business-as-usual strategy. In the big push, there is an improvement in creditworthiness from higher income levels and growth that more than offset the decline in creditworthiness caused by higher debt levels and fiscal deficits.[2]",S
Finance Day Debt sustainability,https://qutii.org/index.php/Finance_Day_Debt_sustainability,Climate change,Can the big push strategy work under current conditions?,"Not really, a few reforms need to be made to international finance architecture:",S
Finance Day Debt sustainability,https://qutii.org/index.php/Finance_Day_Debt_sustainability,Climate change,," First, there must be an improvement in the provision of liquidity in the event of economic downturns or natural disasters. Second, new borrowing must be on affordable terms, best intermediated through multilateral and bilateral official financial institutions. • Third, provision must be made for global solidarity to share the costs of climate-related disasters when they strike small countries that are especially vulnerable.[3]",S
Finance Day New carbon trading scheme,https://qutii.org/index.php/Finance_Day_New_carbon_trading_scheme,pollution ,What is the energy transition accelerator scheme?,It is a new carbon trading scheme recently introduced by the US at COP27.,f
Finance Day New carbon trading scheme,https://qutii.org/index.php/Finance_Day_New_carbon_trading_scheme,pollution,What is carbon trading?,It’s the buying and selling of credits (carbon credits) that allow a company to emit a certain amount of carbon dioxide or other greenhouse gases. These are regulated by governments to gradually reduce overall carbon emissions and have soon become a multi-million business.,f
Finance Day New carbon trading scheme,https://qutii.org/index.php/Finance_Day_New_carbon_trading_scheme,pollution,What’s the aim of the US new carbon trading scheme? ,To help poorer countries transition to renewables by boosting private clean energy investments.,f
Finance Day New carbon trading scheme,https://qutii.org/index.php/Finance_Day_New_carbon_trading_scheme,pollution,Who’s the US climate envoy at COP27?,John Kerry.,f
Finance Day New carbon trading scheme,https://qutii.org/index.php/Finance_Day_New_carbon_trading_scheme,pollution,Who’s contributing to this initiative?,The scheme was created in partnership with the Rockefeller Foundation and the Bezos Earth Fund.,f
Finance Day New carbon trading scheme,https://qutii.org/index.php/Finance_Day_New_carbon_trading_scheme,pollution,What’s the investment in clean energy that is needed to avoid dangerous global heating?,The International Energy Agency estimates that the annual investments need to triple to more than $4tn by 2030.,a
Finance Day New carbon trading scheme,https://qutii.org/index.php/Finance_Day_New_carbon_trading_scheme,pollution,Why has the new US scheme been criticised?,"Because according to some critics, carbon markets only lead to minimal emissions reductions while the large companies that use them falsely gain in green reputation",s
Finance Day New carbon trading scheme,https://qutii.org/index.php/Finance_Day_New_carbon_trading_scheme,pollution,What is another reason why environmentalists are so against carbon market schemes?,"Because they often have a negative impact on Indigenous and pastoral communities that live sustainably in forests and agricultural land where the schemes are funded. There have been reports of land grabs and food prices soaring due to carbon markets in countries such as Brazil, India and Kenya.",s
Finance Day New carbon trading scheme,https://qutii.org/index.php/Finance_Day_New_carbon_trading_scheme,pollution,"What did the director of Climate Research & Policy at Corporate Accountability, Rachel Rose Jackson say about Kerry’s declaration?",She said that the scheme will exacerbate the problem and it won’t solve it and that it’s an excuse for the US do keep delaying repaying its climate debt.,O/A
Finance Day New carbon trading scheme,https://qutii.org/index.php/Finance_Day_New_carbon_trading_scheme,pollution,"What is the opinion of the thinktank Powershift Africa, Mohamed Adow, on this issue?","He agrees that the US are due to repay its climate debt and that this cannot happen through private sector finance, but it should be separate.",O/A
Finance Day New carbon trading scheme,https://qutii.org/index.php/Finance_Day_New_carbon_trading_scheme,pollution,What African countries adhered to the consortium?,"It was created by Kenya, Malawi, Gabon, Nigeria and Togo in partnership with carbon credit buyers and financers.",f
Finance Day New carbon trading scheme,https://qutii.org/index.php/Finance_Day_New_carbon_trading_scheme,pollution,How many credits will the scheme raise over time?,"The aim is to produce 300m carbon credits annually by 2030, rising to 1.5bn credits by 2050. These credits should eventually unlock $120bn (£105bn) and 110m jobs by 2050.",f
Finance Day New carbon trading scheme,https://qutii.org/index.php/Finance_Day_New_carbon_trading_scheme,pollution,What is Adow’s view of the African carbon credits?,"Adow believes that corporations are only using Africa to continue polluting and won’t help African countries to reach climate fairness. The carbon credits system will not reduce emissions and, Adow adds, represent just another type of neocolonialism.",O/A
